Year;Group;Team;Position
1998;Group A;Brazil;1
1998;Group A;Norway;2
1998;Group B;Italy;1
1998;Group B;Chile;2
1998;Group C;France;1
1998;Group C;Denmark;2
1998;Group D;Nigeria;1
1998;Group D;Paraguay;2
1998;Group E;Netherlands;1
1998;Group E;Mexico;2
1998;Group F;Germany;1
1998;Group F;Yugoslavia;2
1998;Group G;Romania;1
1998;Group G;England;2
1998;Group H;Argentina;1
1998;Group H;Croatia;2
2002;Group A;Denmark;1
2002;Group A;Senegal;2
2002;Group B;Spain;1
2002;Group B;Paraguay;2
2002;Group C;Brazil;1
2002;Group C;Turkey;2
2002;Group D;Korea Republic;1
2002;Group D;USA;2
2002;Group E;Germany;1
2002;Group E;Republic of Ireland;2
2002;Group F;Sweden;1
2002;Group F;England;2
2002;Group G;Mexico;1
2002;Group G;Italy;2
2002;Group H;Japan;1
2002;Group H;Belgium;2
2006;Group A;Germany;1
2006;Group A;Ecuador;2
2006;Group B;England;1
2006;Group B;Sweden;2
2006;Group C;Argentina;1
2006;Group C;Netherlands;2
2006;Group D;Portugal;1
2006;Group D;Mexico;2
2006;Group E;Italy;1
2006;Group E;Ghana;2
2006;Group F;Brazil;1
2006;Group F;Australia;2
2006;Group G;Switzerland;1
2006;Group G;France;2
2006;Group H;Spain;1
2006;Group H;Ukraine;2
2010;Group A;Uruguay;1
2010;Group A;Mexico;2
2010;Group B;Argentina;1
2010;Group B;Korea Republic;2
2010;Group C;USA;1
2010;Group C;England;2
2010;Group D;Germany;1
2010;Group D;Ghana;2
2010;Group E;Netherlands;1
2010;Group E;Japan;2
2010;Group F;Paraguay;1
2010;Group F;Slovakia;2
2010;Group G;Brazil;1
2010;Group G;Portugal;2
2010;Group H;Spain;1
2010;Group H;Chile;2
2014;Group A;Brazil;1
2014;Group A;Mexico;2
2014;Group B;Netherlands;1
2014;Group B;Chile;2
2014;Group C;Colombia;1
2014;Group C;Greece;2
2014;Group D;Costa Rica;1
2014;Group D;Uruguay;2
2014;Group E;France;1
2014;Group E;Switzerland;2
2014;Group F;Argentina;1
2014;Group F;Nigeria;2
2014;Group G;Germany;1
2014;Group G;USA;2
2014;Group H;Belgium;1
2014;Group H;Algeria;2
